"rules" "support" "confidence" "coverage" "lift" "count"
"98" "{Tournament_Stage=League,Team=Namibia} => {Wicket_Category=Five_Plus}" 0.01 1 0.01 1.40845070422535 1
"101" "{Economy_Category=Economic,Team=Canada} => {Wicket_Category=Five_Plus}" 0.01 1 0.01 1.40845070422535 1
"108" "{Decade=-0s,Team=Canada} => {Wicket_Category=Five_Plus}" 0.01 1 0.01 1.40845070422535 1
"110" "{Tournament_Stage=League,Team=Canada} => {Wicket_Category=Five_Plus}" 0.01 1 0.01 1.40845070422535 1
"113" "{Economy_Category=Very_Economic,Team=Kenya} => {Wicket_Category=Five_Plus}" 0.01 1 0.01 1.40845070422535 1
"120" "{Decade=-0s,Team=Kenya} => {Wicket_Category=Five_Plus}" 0.01 1 0.01 1.40845070422535 1
"122" "{Tournament_Stage=League,Team=Kenya} => {Wicket_Category=Five_Plus}" 0.01 1 0.01 1.40845070422535 1
"143" "{Economy_Category=Expensive,Team=Bangladesh} => {Wicket_Category=Five_Plus}" 0.01 1 0.01 1.40845070422535 1
"146" "{Economy_Category=Expensive,Team=Sri Lanka} => {Wicket_Category=Five_Plus}" 0.01 1 0.01 1.40845070422535 1
"149" "{Economy_Category=Expensive,Team=England} => {Wicket_Category=Five_Plus}" 0.01 1 0.01 1.40845070422535 1
"152" "{Economy_Category=Expensive,Team=India} => {Wicket_Category=Five_Plus}" 0.01 1 0.01 1.40845070422535 1
"156" "{Economy_Category=Expensive,Decade=-0s} => {Wicket_Category=Five_Plus}" 0.04 1 0.04 1.40845070422535 4
"158" "{Economy_Category=Expensive,Tournament_Stage=League} => {Wicket_Category=Five_Plus}" 0.04 1 0.04 1.40845070422535 4
"161" "{Economy_Category=Moderate,Team=Bangladesh} => {Wicket_Category=Five_Plus}" 0.01 1 0.01 1.40845070422535 1
"179" "{Economy_Category=Moderate,Team=Sri Lanka} => {Wicket_Category=Five_Plus}" 0.01 1 0.01 1.40845070422535 1
"201" "{Economy_Category=Moderate,Team=West Indies} => {Wicket_Category=Five_Plus}" 0.02 1 0.02 1.40845070422535 2
"223" "{Economy_Category=Moderate,Team=England} => {Wicket_Category=Five_Plus}" 0.01 1 0.01 1.40845070422535 1
"232" "{Economy_Category=Economic,Team=England} => {Wicket_Category=Five_Plus}" 0.01 1 0.01 1.40845070422535 1
"243" "{Economy_Category=Moderate,Team=New Zealand} => {Wicket_Category=Five_Plus}" 0.01 1 0.01 1.40845070422535 1
"264" "{Economy_Category=Moderate,Team=Pakistan} => {Wicket_Category=Five_Plus}" 0.03 1 0.03 1.40845070422535 3
"270" "{Economy_Category=Economic,Team=Pakistan} => {Wicket_Category=Five_Plus}" 0.05 1 0.05 1.40845070422535 5
"283" "{Economy_Category=Moderate,Team=South Africa} => {Wicket_Category=Five_Plus}" 0.03 1 0.03 1.40845070422535 3
"290" "{Economy_Category=Economic,Team=South Africa} => {Wicket_Category=Five_Plus}" 0.02 1 0.02 1.40845070422535 2
"303" "{Economy_Category=Moderate,Team=India} => {Wicket_Category=Five_Plus}" 0.02 1 0.02 1.40845070422535 2
"310" "{Economy_Category=Economic,Team=India} => {Wicket_Category=Five_Plus}" 0.05 1 0.05 1.40845070422535 5
"322" "{Economy_Category=Moderate,Team=Australia} => {Wicket_Category=Five_Plus}" 0.02 1 0.02 1.40845070422535 2
"326" "{Economy_Category=Moderate,Decade=-0s} => {Wicket_Category=Five_Plus}" 0.16 1 0.16 1.40845070422535 16
"328" "{Economy_Category=Moderate,Tournament_Stage=League} => {Wicket_Category=Five_Plus}" 0.16 1 0.16 1.40845070422535 16
"372" "{Economy_Category=Very_Economic,Decade=-0s,Team=U.A.E.} => {Wicket_Category=Five_Plus}" 0.01 1 0.01 1.40845070422535 1
"375" "{Economy_Category=Very_Economic,Tournament_Stage=League,Team=U.A.E.} => {Wicket_Category=Five_Plus}" 0.01 1 0.01 1.40845070422535 1
"382" "{Tournament_Stage=League,Decade=-0s,Team=U.A.E.} => {Wicket_Category=Five_Plus}" 0.01 1 0.01 1.40845070422535 1
"384" "{Economy_Category=Economic,Decade=-0s,Team=Namibia} => {Wicket_Category=Five_Plus}" 0.01 1 0.01 1.40845070422535 1
"387" "{Economy_Category=Economic,Tournament_Stage=League,Team=Namibia} => {Wicket_Category=Five_Plus}" 0.01 1 0.01 1.40845070422535 1
"394" "{Tournament_Stage=League,Decade=-0s,Team=Namibia} => {Wicket_Category=Five_Plus}" 0.01 1 0.01 1.40845070422535 1
"396" "{Economy_Category=Economic,Decade=-0s,Team=Canada} => {Wicket_Category=Five_Plus}" 0.01 1 0.01 1.40845070422535 1
"399" "{Economy_Category=Economic,Tournament_Stage=League,Team=Canada} => {Wicket_Category=Five_Plus}" 0.01 1 0.01 1.40845070422535 1
"406" "{Tournament_Stage=League,Decade=-0s,Team=Canada} => {Wicket_Category=Five_Plus}" 0.01 1 0.01 1.40845070422535 1
"408" "{Economy_Category=Very_Economic,Decade=-0s,Team=Kenya} => {Wicket_Category=Five_Plus}" 0.01 1 0.01 1.40845070422535 1
"411" "{Economy_Category=Very_Economic,Tournament_Stage=League,Team=Kenya} => {Wicket_Category=Five_Plus}" 0.01 1 0.01 1.40845070422535 1
